id,name,webpage,address,lat,lon
1,"The National Art Center, Tokyo",https://www.nact.jp/english/,7-22-2 Roppongi Minato-ku Tokyo 106-8558 Japan,,
2,The National Museum of African American History and Culture,https://nmaahc.si.edu/,"1400 Constitution Avenue NW, Washington, DC 20560, United States",38.891067,-77.03270397891524
3,The Mauritshuis,https://www.mauritshuis.nl/en/,"Plein 29, 2511 CS The Hague, The Netherlands",,
4,The Museo Nacional del Prado,https://www.museodelprado.es/en,"Calle de Ruiz de Alarcón, 23, 28014 Madrid, Spain",40.5562578,-3.3239664
5,The Bangkok National Museum,https://finearts.go.th/museumbangkok/,"Na Phra That Alley, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200, Thailand",,
6,The National Gallery of Canada,https://www.gallery.ca/,"380 Sussex Drive, Ottawa, ON, Canada",45.429526300000006,-75.69881245158095
7,The Acropolis Museum,https://www.theacropolismuseum.gr/en,"Dionysiou Areopagitou 15, 11742 Athens, Greece",37.9685331,23.728470577939788
8,The Latin American Art Museum of Buenos Aires,https://www.malba.org.ar/en/,"Av. Figueroa Alcorta 3415, C1425CLA Buenos Aires, Argentina",-34.6611593,-58.6406316
9,The Museum of New Zealand Te Papa Tongarewa,https://www.tepapa.govt.nz/,"55 Cable Street, Wellington, 6011, New Zealand",-41.2903326,174.78192750276241
10,The Cape Town Holocaust & Genocide Centre,https://ctholocaust.co.za/,"88 Hatfield Street, Cape Town, 8001, South Africa",-33.929831,18.416944586084533
