id;name;webpage;address
1;The National Art Center, Tokyo;https://www.nact.jp/english/;The National Art Center, Tokyo
2;The National Museum of African American History and Culture;https://nmaahc.si.edu/;NMAAHC
3;The Mauritshuis;https://www.mauritshuis.nl/en/;The Mauritshuis
4;The Museo Nacional del Prado;https://www.museodelprado.es/en;Museo del Prado
5;The Bangkok National Museum;https://finearts.go.th/museumbangkok/;Bangkok National Museum
6;The National Gallery of Canada;https://www.gallery.ca/;National Gallery of Canada
7;The Acropolis Museum;https://www.theacropolismuseum.gr/en;Acropolis Museum
8;The Latin American Art Museum of Buenos Aires;https://www.malba.org.ar/en/;Museo de Arte Latinoamericano de Buenos Aires
9;The Museum of New Zealand Te Papa Tongarewa;https://www.tepapa.govt.nz/;Te Papa
10;The Cape Town Holocaust & Genocide Centre;https://ctholocaust.co.za/;Cape Town Holocaust Centre
